County,2010,2011,2012,2013,2014,2015,2016,2017,Selected Years Total
Baldwin,255,264,406,321,300,259,323,251,"2,379"
Barrow,319,284,333,381,369,452,386,473,"2,997"
Bartow,456,470,537,500,510,513,537,492,"4,015"
Bibb,964,907,"1,017",984,"1,019","1,028","1,324","1,416","8,659"
Bulloch,393,362,432,438,478,460,523,425,"3,511"
Camden,357,376,376,441,344,346,245,252,"2,737"
Carroll,545,583,612,609,626,668,637,584,"4,864"
Catoosa,60,59,76,72,71,47,76,75,536
Chatham,"1,865","1,913","2,218","2,099","1,844","1,681","1,788","1,829","15,237"
Cherokee,581,592,662,610,705,639,550,651,"4,990"
Clarke,410,444,511,563,549,555,610,591,"4,233"
Clayton,"1,970","2,114","2,568","2,134","2,087","1,870","2,060","2,178","16,981"
Cobb,"3,237","3,344","3,756","3,800","3,838","3,564","3,771","3,491","28,801"
Coffee,258,79,261,337,350,218,213,185,"1,901"
Colquitt,286,319,315,273,276,260,260,261,"2,250"
Columbia,313,324,291,339,362,311,345,369,"2,654"
Coweta,474,479,655,350,446,449,589,500,"3,942"
DeKalb,"5,213","5,313","6,313","5,684","5,542","5,004","5,350","5,483","43,902"
Dougherty,921,937,947,"1,011",948,786,593,430,"6,573"
Douglas,795,855,"1,082","1,055","1,190","1,228","1,225","1,140","8,570"
Effingham,152,184,194,206,210,149,153,191,"1,439"
Fayette,311,270,338,234,297,278,286,275,"2,289"
Floyd,458,456,515,496,491,453,470,428,"3,767"
Forsyth,420,388,401,464,392,338,381,381,"3,165"
Fulton,"7,166","7,599","8,763","6,635","6,378","5,887","6,364","7,694","56,486"
Glynn,368,420,489,514,528,532,518,545,"3,914"
Gordon,152,178,194,186,166,176,212,193,"1,457"
Gwinnett,"3,734","3,671","4,463","4,149","4,085","3,751","3,997","3,638","31,488"
Habersham,127,139,240,223,303,322,235,142,"1,731"
Hall,580,669,759,676,638,662,684,716,"5,384"
Henry,760,834,950,855,909,765,887,870,"6,830"
Houston,847,781,831,789,871,778,881,775,"6,553"
Jackson,200,167,207,261,225,309,245,277,"1,891"
Laurens,363,302,328,335,390,398,327,297,"2,740"
Liberty,331,406,363,392,429,381,348,320,"2,970"
Lowndes,617,667,593,604,510,436,401,400,"4,228"
Murray,173,137,108,129,176,103,163,126,"1,115"
Muscogee,"1,381","1,152","1,273","1,508","1,800","1,442","1,582","1,723","11,861"
Newton,627,637,856,730,764,746,846,824,"6,030"
Paulding,583,590,637,665,819,868,995,847,"6,004"
Polk,222,257,304,245,301,257,242,256,"2,084"
Richmond,"2,209","2,187","2,177","2,007","2,278","2,060","2,207","2,099","17,224"
Rockdale,441,438,595,578,673,618,603,628,"4,574"
Spalding,273,604,556,445,520,457,512,431,"3,798"
Thomas,294,298,244,308,295,296,236,194,"2,165"
Tift,202,193,183,172,105,18,155,213,"1,241"
Troup,409,453,491,458,443,482,523,502,"3,761"
Walker,101,103,171,141,114,122,189,169,"1,110"
Walton,386,344,378,413,483,520,565,421,"3,510"
Ware,409,413,423,346,285,236,220,222,"2,554"
Whitfield,277,282,290,260,253,229,259,200,"2,050"
