State or Territory,Number with Current Asthma,Percent with Current Asthma,Latitude,Longitude
Alabama,"370,128",9.9,32.806671,-86.79113
Alaska,"50,792",9.2,61.370716,-152.404419
Arizona,"479,791",9.3,33.729759,-111.431221
Arkansas,"226,691",10.1,34.969704,-92.373123
California,"2,290,491",7.7,36.116203,-119.681564
Colorado,"375,709",9,39.059811,-105.311104
Connecticut,"294,997",10.5,41.597782,-72.755371
Delaware,"67,950",9.2,39.318523,-75.507141
District of Columbia,"57,793",10.6,38.897438,-77.026817
Florida,"1,197,036",7.4,27.766279,-81.686783
Georgia," 708,933",9.2,33.040619,-83.643074
Hawaii,"111,142",10,21.094318,-157.498337
Idaho,"110,735",9.1,44.240459,-114.478828
Illinois,"828,784",8.4,40.349457,-88.986137
Indiana,"512,557",10.2,39.849426,-86.258278
Iowa,"181,072",7.6,42.011539,-93.210526
Kansas,"188,514",8.7,38.5266,-96.726486
Kentucky,"403,499",11.9,37.66814,-84.670067
Louisiana,"288,759",8.2,31.169546,-91.867805
Maine,"120,034",11.2,44.693947,-69.381927
Maryland,"408,914",8.8,39.063946,-76.802101
Massachusetts,"547,096",10.2,42.230171,-71.530106
Michigan,"781,517",10.2,43.326618,-84.536095
Minnesota,"310,116",7.4,45.694454,-93.900192
Mississippi,"175,845",7.8,32.741646,-89.678696
Missouri,"448,562",9.6,38.456085,-92.288368
Montana,"71,210",8.9,46.921925,-110.454353
Nebraska,"101,854",7.2,41.12537,-98.268082
Nevada,"179,450",8.1,38.313515,-117.055374
New Hampshire,"107,224",10.1,43.452492,-71.563896
New Jersey,"501,572",7.2,40.298904,-74.521011
New Mexico,"155,818",9.9,34.840515,-106.248482
New York,"1,532,508",9.9,42.165726,-74.948051
North Carolina,"633,683",8.2,35.630066,-79.806419
North Dakota,"52,567",9,47.528912,-99.784012
Ohio,"896,185",10,40.388783,-82.764915
Oklahoma,"279,781",9.5,35.565342,-96.928917
Oregon,"351,437",11.2,44.572021,-122.070938
Pennsylvania,"1,020,306",10.2,40.590752,-77.209755
Rhode Island,"91,992",11,41.680893,-71.51178
South Carolina,"309,943",8.2,33.856892,-80.945007
South Dakota,"54,406",8.4,44.299782,-99.438828
Tennessee,"455,946",9,35.747845,-86.692345
Texas,"1,528,177",7.6,31.054487,-97.563461
Utah,"187,377",9,40.150032,-111.862434
Vermont,"55,265",11,44.045876,-72.710686
Virginia,"513,676",7.9,37.769337,-78.169968
Washington,"516,400",9.4,47.400902,-121.490494
West Virginia,"158,528",10.8,38.491226,-80.954453
Wisconsin,"426,296",9.5,44.268543,-89.616508
Wyoming,"35,482",8,42.755966,-107.30249
,,,,
,,,,
